onset	duration	subject	session	condition	trial_type	stim_label	key_down	orientation	interval_time	response_time	accuracy	stim_index	serial_position	key_expected	key_pressed	choice_left	choice_right	choice_correct
1.2512137000012444	1.2847	sub-29	1	instruction	instruction	language_selection	german	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39.8334317000008	0.4993	sub-29	1	localizer	stimulus	Stuhl	NaN	0	2.818893699999535	NaN	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.31621580000137	2.8189	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43.43639000000076	0.4994	sub-29	1	localizer	stimulus	Stuhl	NaN	0	3.886264400000073	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43.91927660000147	3.8863	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48.106774900001255	0.4995	sub-29	1	localizer	stimulus	Haus	NaN	0	2.5518296000009286	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48.58968850000019	2.5518	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.44274589999986	0.4994	sub-29	1	localizer	stimulus	Schuh	NaN	0	2.8521753000004537	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.92559280000023	2.8522	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
55.07899100000032	0.4994	sub-29	1	localizer	stimulus	Schuh	NaN	0	2.3517554000009113	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
55.5618685999998	2.3518	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58.21490730000005	0.4994	sub-29	1	localizer	stimulus	Haus	NaN	180	1.7010785000002286	0.5679842999998073	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58.69789760000094	1.7011	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.700166300001	0.4996	sub-29	1	localizer	stimulus	Stuhl	NaN	0	1.8179712000001018	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
61.18310080000083	1.818	sub-29	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
63.3024774000005	0.4993	sub-29	1	localizer	stimulus	Schuh	NaN	0	2.399926099998993	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
