onset	duration	trial_type	value	sample
18.364	0.0	fixation pre 1	81	18364
22.173	0.0	localizer House onset	2	22173
24.675	0.0	localizer Shoe onset	4	24675
28.297	0.0	localizer Cat distractor onset	103	28297
28.844	0.0	localizer sound coin	31	28844
32.236	0.0	localizer Cat onset	3	32236
35.74	0.0	localizer Face onset	1	35740
38.828	0.0	localizer House distractor onset	102	38828
39.392	0.0	localizer sound coin	31	39392
41.731	0.0	localizer Chair onset	5	41731
45.37	0.0	localizer Face onset	1	45370
48.607	0.0	localizer Face onset	1	48607
52.095	0.0	localizer Cat onset	3	52095
55.316	0.0	localizer Chair onset	5	55316
58.937	0.0	localizer Cat onset	3	58937
61.891	0.0	localizer Shoe onset	4	61891
65.496	0.0	localizer Chair onset	5	65496
68.516	0.0	localizer Chair distractor onset	105	68516
69.097	0.0	localizer sound coin	31	69097
71.905	0.0	localizer House onset	2	71905
74.959	0.0	localizer Cat onset	3	74959
78.313	0.0	localizer House onset	2	78313
82.819	0.0	localizer Face distractor onset	101	82819
83.366	0.0	localizer sound coin	31	83366
86.707	0.0	localizer Shoe onset	4	86707
89.945	0.0	localizer Face onset	1	89945
93.583	0.0	localizer Chair onset	5	93583
96.771	0.0	localizer Shoe distractor onset	104	96771
97.268	0.0	localizer sound coin	31	97268
99.858	0.0	localizer Shoe onset	4	99858
103.73	0.0	localizer House onset	2	103730
106.497	0.0	fixation pre 2	82	106497
110.004	0.0	cue Cat	13	110004
113.348	0.0	sequence Face onset	21	113348
113.506	0.0	sequence House onset	22	113506
113.673	0.0	sequence Cat onset	23	113673
113.839	0.0	sequence Chair onset	25	113839
114.006	0.0	sequence Shoe onset	24	114006
114.173	0.0	Sequence Buffer start	61	114173
122.564	0.0	Sequence Buffer stop	62	122564
123.386	0.0	sequencesound coin	71	123386
123.888	0.0	cue Shoe	14	123888
127.204	0.0	sequence Cat onset	23	127204
127.824	0.0	sequence Chair onset	25	127824
128.442	0.0	sequence Face onset	21	128442
129.059	0.0	sequence Shoe onset	24	129059
129.677	0.0	sequence House onset	22	129677
130.294	0.0	Sequence Buffer start	61	130294
