onset	duration	trial_type	value	sample
31.258	0.0	fixation pre 1	81	31258
35.067	0.0	localizer Cat onset	3	35067
38.387	0.0	localizer Chair onset	5	38387
41.994	0.0	localizer Shoe onset	4	41994
45.13	0.0	localizer Shoe distractor onset	104	45130
45.727	0.0	localizer sound coin	31	45727
48.451	0.0	localizer Cat onset	3	48451
51.673	0.0	localizer Shoe onset	4	51673
54.943	0.0	localizer House distractor onset	102	54943
55.573	0.0	localizer sound coin	31	55573
57.997	0.0	localizer Chair onset	5	57997
61.418	0.0	localizer Chair distractor onset	105	61418
61.965	0.0	localizer sound coin	31	61965
64.306	0.0	localizer Cat onset	3	64306
68.077	0.0	localizer Face onset	1	68077
68.624	0.0	localizer sound error	30	68624
71.398	0.0	localizer Face onset	1	71398
74.886	0.0	localizer House onset	2	74886
77.422	0.0	localizer House onset	2	77422
80.626	0.0	localizer Face onset	1	80626
82.962	0.0	localizer Shoe onset	4	82962
86.701	0.0	localizer Chair onset	5	86701
90.005	0.0	localizer House onset	2	90005
93.677	0.0	localizer Cat distractor onset	103	93677
94.224	0.0	localizer sound coin	31	94224
95.829	0.0	localizer Cat onset	3	95829
99.835	0.0	localizer House onset	2	99835
102.822	0.0	localizer Shoe onset	4	102822
105.125	0.0	localizer Face distractor onset	101	105125
105.706	0.0	localizer sound coin	31	105706
108.446	0.0	localizer Chair onset	5	108446
111.634	0.0	localizer Face onset	1	111634
115.369	0.0	fixation pre 2	82	115369
118.876	0.0	cue Shoe	14	118876
122.233	0.0	sequence House onset	22	122233
122.361	0.0	sequence Face onset	21	122361
122.494	0.0	sequence Chair onset	25	122494
122.628	0.0	sequence Cat onset	23	122628
122.761	0.0	sequence Shoe onset	24	122761
122.895	0.0	Sequence Buffer start	61	122895
131.437	0.0	Sequence Buffer stop	62	131437
133.059	0.0	sequencesound coin	71	133059
133.561	0.0	cue Chair	15	133561
136.874	0.0	sequence Face onset	21	136874
137.047	0.0	sequence House onset	22	137047
137.214	0.0	sequence Cat onset	23	137214
137.381	0.0	sequence Shoe onset	24	137381
137.547	0.0	sequence Chair onset	25	137547
137.714	0.0	Sequence Buffer start	61	137714
146.108	0.0	Sequence Buffer stop	62	146108
147.245	0.0	sequencesound coin	71	147245
147.749	0.0	cue House	12	147749
151.06	0.0	sequence Chair onset	25	151060
151.182	0.0	sequence Shoe onset	24	151182
151.315	0.0	sequence House onset	22	151315
151.449	0.0	sequence Face onset	21	151449
151.583	0.0	sequence Cat onset	23	151583
151.716	0.0	Sequence Buffer start	61	151716
160.259	0.0	Sequence Buffer stop	62	160259
161.814	0.0	sequencesound coin	71	161814
162.315	0.0	cue Chair	15	162315
165.627	0.0	sequence Face onset	21	165627
166.252	0.0	sequence House onset	22	166252
166.869	0.0	sequence Chair onset	25	166869
167.487	0.0	sequence Shoe onset	24	167487
168.104	0.0	sequence Cat onset	23	168104
168.722	0.0	Sequence Buffer start	61	168722
174.878	0.0	Sequence Buffer stop	62	174878
175.899	0.0	sequencesound coin	71	175899
176.401	0.0	cue Face	11	176401
179.714	0.0	sequence House onset	22	179714
180.32	0.0	sequence Cat onset	23	180320
180.938	0.0	sequence Chair onset	25	180938
181.555	0.0	sequence Shoe onset	24	181555
182.173	0.0	sequence Face onset	21	182173
182.791	0.0	Sequence Buffer start	61	182791
188.951	0.0	Sequence Buffer stop	62	188951
189.984	0.0	sequencesound coin	71	189984
190.486	0.0	cue Shoe	14	190486
193.799	0.0	sequence House onset	22	193799
194.038	0.0	sequence Cat onset	23	194038
194.272	0.0	sequence Chair onset	25	194272
194.506	0.0	sequence Face onset	21	194506
194.739	0.0	sequence Shoe onset	24	194739
194.973	0.0	Sequence Buffer start	61	194973
203.049	0.0	Sequence Buffer stop	62	203049
205.554	0.0	sequence sound error	70	205554
206.056	0.0	cue House	12	206056
209.37	0.0	sequence Cat onset	23	209370
209.542	0.0	sequence Shoe onset	24	209542
209.709	0.0	sequence Chair onset	25	209709
209.876	0.0	sequence House onset	22	209876
210.043	0.0	sequence Face onset	21	210043
210.21	0.0	Sequence Buffer start	61	210210
218.605	0.0	Sequence Buffer stop	62	218605
219.473	0.0	sequencesound coin	71	219473
219.976	0.0	cue Shoe	14	219976
223.288	0.0	sequence House onset	22	223288
223.51	0.0	sequence Chair onset	25	223510
223.744	0.0	sequence Shoe onset	24	223744
223.978	0.0	sequence Cat onset	23	223978
224.211	0.0	sequence Face onset	21	224211
224.445	0.0	Sequence Buffer start	61	224445
232.522	0.0	Sequence Buffer stop	62	232522
233.375	0.0	sequencesound coin	71	233375
233.875	0.0	fixation pre 1	81	233875
237.683	0.0	localizer Face onset	1	237683
240.67	0.0	localizer Chair onset	5	240670
244.208	0.0	localizer Cat onset	3	244208
247.546	0.0	localizer Chair onset	5	247546
251.25	0.0	localizer Chair onset	5	251250
253.554	0.0	localizer House onset	2	253554
257.208	0.0	localizer House onset	2	257208
260.914	0.0	localizer Chair distractor onset	105	260914
261.544	0.0	localizer sound coin	31	261544
264.268	0.0	localizer Shoe onset	4	264268
267.489	0.0	localizer Chair onset	5	267489
270.926	0.0	localizer Face onset	1	270926
273.366	0.0	localizer House distractor onset	102	273366
274.01	0.0	localizer sound coin	31	274010
276.534	0.0	localizer Cat onset	3	276534
278.956	0.0	localizer House onset	2	278956
281.441	0.0	localizer Shoe distractor onset	104	281441
282.038	0.0	localizer sound coin	31	282038
284.744	0.0	localizer Shoe onset	4	284744
287.832	0.0	localizer Cat onset	3	287832
291.036	0.0	localizer Cat distractor onset	103	291036
291.584	0.0	localizer sound coin	31	291584
293.389	0.0	localizer Face onset	1	293389
296.262	0.0	localizer Cat onset	3	296262
298.814	0.0	localizer Shoe onset	4	298814
301.886	0.0	localizer Face distractor onset	101	301886
302.448	0.0	localizer sound coin	31	302448
305.305	0.0	localizer Shoe onset	4	305305
