onset	duration	trial_type	value	sample
30.432	0.0	fixation pre 1	81	30432
34.242	0.0	localizer Cat onset	3	34242
37.578	0.0	localizer House onset	2	37578
40.867	0.0	localizer House onset	2	40867
43.938	0.0	localizer Shoe onset	4	43938
46.974	0.0	localizer Face distractor onset	101	46974
47.67	0.0	localizer sound coin	31	47670
50.011	0.0	localizer Cat onset	3	50011
53.498	0.0	localizer Chair onset	5	53498
56.686	0.0	localizer Face onset	1	56686
59.606	0.0	localizer Face onset	1	59606
62.794	0.0	localizer Chair distractor onset	105	62794
63.408	0.0	localizer sound coin	31	63408
65.898	0.0	localizer Shoe onset	4	65898
68.769	0.0	localizer House onset	2	68769
72.191	0.0	localizer Chair onset	5	72191
75.594	0.0	localizer Cat distractor onset	103	75594
76.191	0.0	localizer sound coin	31	76191
78.865	0.0	localizer Cat onset	3	78865
81.318	0.0	localizer Face onset	1	81318
84.774	0.0	localizer House onset	2	84774
87.093	0.0	localizer Cat onset	3	87093
90.664	0.0	localizer Shoe onset	4	90664
93.584	0.0	localizer Chair onset	5	93584
96.755	0.0	localizer Chair onset	5	96755
97.486	0.0	localizer sound error	30	97486
100.561	0.0	localizer House distractor onset	102	100561
101.224	0.0	localizer sound coin	31	101224
103.564	0.0	localizer Face onset	1	103564
107.753	0.0	localizer Shoe onset	4	107753
111.241	0.0	localizer Shoe distractor onset	104	111241
112.005	0.0	localizer sound coin	31	112005
114.375	0.0	fixation pre 2	82	114375
117.882	0.0	cue House	12	117882
121.229	0.0	sequence Chair onset	25	121229
121.451	0.0	sequence Face onset	21	121451
121.684	0.0	sequence Cat onset	23	121684
121.918	0.0	sequence House onset	22	121918
122.152	0.0	sequence Shoe onset	24	122152
122.385	0.0	Sequence Buffer start	61	122385
130.451	0.0	Sequence Buffer stop	62	130451
131.365	0.0	sequencesound coin	71	131365
131.866	0.0	cue House	12	131866
135.181	0.0	sequence Cat onset	23	135181
135.302	0.0	sequence Face onset	21	135302
135.436	0.0	sequence Chair onset	25	135436
135.569	0.0	sequence Shoe onset	24	135569
135.703	0.0	sequence House onset	22	135703
135.837	0.0	Sequence Buffer start	61	135837
144.367	0.0	Sequence Buffer stop	62	144367
145.183	0.0	sequence sound error	70	145183
145.687	0.0	cue Cat	13	145687
148.998	0.0	sequence Chair onset	25	148998
149.604	0.0	sequence Face onset	21	149604
150.222	0.0	sequence House onset	22	150222
150.839	0.0	sequence Cat onset	23	150839
151.457	0.0	sequence Shoe onset	24	151457
152.074	0.0	Sequence Buffer start	61	152074
158.232	0.0	Sequence Buffer stop	62	158232
159.101	0.0	sequencesound coin	71	159101
159.605	0.0	cue Chair	15	159605
162.917	0.0	sequence Face onset	21	162917
163.089	0.0	sequence Shoe onset	24	163089
163.256	0.0	sequence House onset	22	163256
163.423	0.0	sequence Cat onset	23	163423
163.59	0.0	sequence Chair onset	25	163590
163.757	0.0	Sequence Buffer start	61	163757
172.149	0.0	Sequence Buffer stop	62	172149
173.303	0.0	sequencesound coin	71	173303
173.807	0.0	cue Face	11	173807
177.118	0.0	sequence Chair onset	25	177118
177.725	0.0	sequence Cat onset	23	177725
178.342	0.0	sequence Face onset	21	178342
178.96	0.0	sequence House onset	22	178960
179.577	0.0	sequence Shoe onset	24	179577
180.195	0.0	Sequence Buffer start	61	180195
186.326	0.0	Sequence Buffer stop	62	186326
187.155	0.0	sequencesound coin	71	187155
187.657	0.0	cue House	12	187657
190.97	0.0	sequence Cat onset	23	190970
191.209	0.0	sequence House onset	22	191209
191.443	0.0	sequence Face onset	21	191443
191.676	0.0	sequence Shoe onset	24	191676
191.91	0.0	sequence Chair onset	25	191910
192.144	0.0	Sequence Buffer start	61	192144
200.217	0.0	Sequence Buffer stop	62	200217
201.123	0.0	sequencesound coin	71	201123
201.626	0.0	cue Chair	15	201626
204.936	0.0	sequence House onset	22	204936
205.078	0.0	sequence Cat onset	23	205078
205.211	0.0	sequence Face onset	21	205211
205.345	0.0	sequence Chair onset	25	205345
205.478	0.0	sequence Shoe onset	24	205478
205.612	0.0	Sequence Buffer start	61	205612
214.133	0.0	Sequence Buffer stop	62	214133
215.225	0.0	sequencesound coin	71	215225
215.726	0.0	cue Chair	15	215726
219.043	0.0	sequence Shoe onset	24	219043
