onset	duration	trial_type	value	sample
31.847	0.0	fixation pre 1	81	31847
35.655	0.0	localizer Face onset	1	35655
38.008	0.0	localizer Chair onset	5	38008
38.555	0.0	localizer sound error	30	38555
41.446	0.0	localizer Chair onset	5	41446
44.617	0.0	localizer Cat onset	3	44617
47.437	0.0	localizer House onset	2	47437
50.758	0.0	localizer Chair distractor onset	105	50758
51.439	0.0	localizer sound coin	31	51439
54.596	0.0	localizer Shoe onset	4	54596
57.234	0.0	localizer House distractor onset	102	57234
58.014	0.0	localizer sound coin	31	58014
61.089	0.0	localizer House onset	2	61089
64.693	0.0	localizer Cat onset	3	64693
68.515	0.0	localizer Shoe onset	4	68515
71.519	0.0	localizer Face distractor onset	101	71519
72.116	0.0	localizer sound coin	31	72116
74.573	0.0	localizer Shoe onset	4	74573
78.094	0.0	localizer Cat onset	3	78094
81.983	0.0	localizer Face onset	1	81983
85.07	0.0	localizer House onset	2	85070
87.99	0.0	localizer Shoe onset	4	87990
91.278	0.0	localizer Shoe distractor onset	104	91278
91.892	0.0	localizer sound coin	31	91892
93.681	0.0	localizer Chair onset	5	93681
97.236	0.0	localizer Face onset	1	97236
100.407	0.0	localizer Cat distractor onset	103	100407
101.021	0.0	localizer sound coin	31	101021
103.544	0.0	localizer Cat onset	3	103544
106.464	0.0	localizer Chair onset	5	106464
109.652	0.0	localizer House onset	2	109652
112.84	0.0	localizer Face onset	1	112840
114.889	0.0	fixation pre 2	82	114889
118.396	0.0	cue Cat	13	118396
121.743	0.0	sequence Chair onset	25	121743
121.881	0.0	sequence Cat onset	23	121881
122.015	0.0	sequence Shoe onset	24	122015
122.148	0.0	sequence House onset	22	122148
122.282	0.0	sequence Face onset	21	122282
122.415	0.0	Sequence Buffer start	61	122415
130.959	0.0	Sequence Buffer stop	62	130959
131.778	0.0	sequencesound coin	71	131778
132.279	0.0	cue Cat	13	132279
135.594	0.0	sequence House onset	22	135594
136.2	0.0	sequence Shoe onset	24	136200
136.818	0.0	sequence Face onset	21	136818
137.435	0.0	sequence Chair onset	25	137435
138.052	0.0	sequence Cat onset	23	138052
138.67	0.0	Sequence Buffer start	61	138670
144.824	0.0	Sequence Buffer stop	62	144824
145.613	0.0	sequencesound coin	71	145613
146.117	0.0	cue Face	11	146117
149.427	0.0	sequence Shoe onset	24	149427
149.651	0.0	sequence Cat onset	23	149651
149.885	0.0	sequence House onset	22	149885
150.118	0.0	sequence Face onset	21	150118
150.352	0.0	sequence Chair onset	25	150352
150.586	0.0	Sequence Buffer start	61	150586
158.663	0.0	Sequence Buffer stop	62	158663
159.398	0.0	sequencesound coin	71	159398
159.901	0.0	cue House	12	159901
163.213	0.0	sequence Shoe onset	24	163213
163.836	0.0	sequence Face onset	21	163836
164.454	0.0	sequence House onset	22	164454
165.071	0.0	sequence Chair onset	25	165071
165.689	0.0	sequence Cat onset	23	165689
166.306	0.0	Sequence Buffer start	61	166306
172.449	0.0	Sequence Buffer stop	62	172449
173.35	0.0	sequencesound coin	71	173350
173.853	0.0	cue Shoe	14	173853
177.165	0.0	sequence House onset	22	177165
177.321	0.0	sequence Cat onset	23	177321
177.488	0.0	sequence Shoe onset	24	177488
177.655	0.0	sequence Chair onset	25	177655
