onset	duration	trial_type	value	sample
37.741	0.0	fixation pre 1	81	37741
41.55	0.0	localizer Chair onset	5	41550
45.421	0.0	localizer Cat onset	3	45421
48.642	0.0	localizer Shoe onset	4	48642
51.679	0.0	localizer Shoe distractor onset	104	51679
52.36	0.0	localizer sound coin	31	52360
54.633	0.0	localizer Cat onset	3	54633
58.421	0.0	localizer Cat distractor onset	103	58421
58.986	0.0	localizer sound coin	31	58986
61.426	0.0	localizer House onset	2	61426
63.812	0.0	localizer Chair onset	5	63812
66.682	0.0	localizer Face onset	1	66682
67.313	0.0	localizer sound error	30	67313
70.287	0.0	localizer Shoe onset	4	70287
73.307	0.0	localizer Chair onset	5	73307
75.844	0.0	localizer Shoe onset	4	75844
79.533	0.0	localizer Face distractor onset	101	79533
80.113	0.0	localizer sound coin	31	80113
83.187	0.0	localizer Chair onset	5	83187
85.857	0.0	localizer Chair distractor onset	105	85857
86.488	0.0	localizer sound coin	31	86488
89.095	0.0	localizer House onset	2	89095
93.151	0.0	localizer House onset	2	93151
96.171	0.0	localizer Shoe onset	4	96171
99.159	0.0	localizer House onset	2	99159
102.279	0.0	localizer Face onset	1	102279
105.333	0.0	localizer Cat onset	3	105333
108.754	0.0	localizer Face onset	1	108754
112.092	0.0	localizer Face onset	1	112092
115.614	0.0	localizer House distractor onset	102	115614
116.244	0.0	localizer sound coin	31	116244
118.784	0.0	localizer Cat onset	3	118784
121.649	0.0	fixation pre 2	82	121649
125.159	0.0	cue Cat	13	125159
128.5	0.0	sequence Shoe onset	24	128500
128.66	0.0	sequence Face onset	21	128660
128.827	0.0	sequence Chair onset	25	128827
128.994	0.0	sequence Cat onset	23	128994
129.161	0.0	sequence House onset	22	129161
129.328	0.0	Sequence Buffer start	61	129328
137.714	0.0	Sequence Buffer stop	62	137714
138.474	0.0	sequencesound coin	71	138474
138.976	0.0	cue Chair	15	138976
142.29	0.0	sequence House onset	22	142290
142.443	0.0	sequence Face onset	21	142443
142.629	0.0	sequence Cat onset	23	142629
142.796	0.0	sequence Shoe onset	24	142796
142.963	0.0	sequence Chair onset	25	142963
143.13	0.0	Sequence Buffer start	61	143130
151.5	0.0	Sequence Buffer stop	62	151500
152.492	0.0	sequencesound coin	71	152492
152.993	0.0	cue Chair	15	152993
156.307	0.0	sequence Chair onset	25	156307
156.931	0.0	sequence Face onset	21	156931
157.548	0.0	sequence House onset	22	157548
158.166	0.0	sequence Shoe onset	24	158166
158.783	0.0	sequence Cat onset	23	158783
159.401	0.0	Sequence Buffer start	61	159401
165.548	0.0	Sequence Buffer stop	62	165548
166.494	0.0	sequencesound coin	71	166494
166.997	0.0	cue Face	11	166997
170.31	0.0	sequence Face onset	21	170310
170.449	0.0	sequence Cat onset	23	170449
170.582	0.0	sequence House onset	22	170582
170.716	0.0	sequence Shoe onset	24	170716
170.849	0.0	sequence Chair onset	25	170849
170.983	0.0	Sequence Buffer start	61	170983
179.516	0.0	Sequence Buffer stop	62	179516
180.412	0.0	sequencesound coin	71	180412
180.915	0.0	cue House	12	180915
184.228	0.0	sequence Shoe onset	24	184228
184.35	0.0	sequence House onset	22	184350
184.482	0.0	sequence Face onset	21	184482
184.618	0.0	sequence Cat onset	23	184618
184.751	0.0	sequence Chair onset	25	184751
184.885	0.0	Sequence Buffer start	61	184885
193.433	0.0	Sequence Buffer stop	62	193433
194.564	0.0	sequencesound coin	71	194564
195.066	0.0	cue Chair	15	195066
198.38	0.0	sequence Shoe onset	24	198380
198.986	0.0	sequence Cat onset	23	198986
199.604	0.0	sequence Chair onset	25	199604
200.221	0.0	sequence Face onset	21	200221
200.839	0.0	sequence House onset	22	200839
201.456	0.0	Sequence Buffer start	61	201456
207.61	0.0	Sequence Buffer stop	62	207610
208.383	0.0	sequencesound coin	71	208383
208.887	0.0	cue House	12	208887
212.198	0.0	sequence Chair onset	25	212198
212.437	0.0	sequence Face onset	21	212437
212.671	0.0	sequence Shoe onset	24	212671
212.905	0.0	sequence Cat onset	23	212905
213.138	0.0	sequence House onset	22	213138
213.372	0.0	Sequence Buffer start	61	213372
221.449	0.0	Sequence Buffer stop	62	221449
222.168	0.0	sequencesound coin	71	222168
222.671	0.0	cue Face	11	222671
225.983	0.0	sequence Cat onset	23	225983
226.206	0.0	sequence Chair onset	25	226206
226.439	0.0	sequence House onset	22	226439
226.673	0.0	sequence Face onset	21	226673
226.907	0.0	sequence Shoe onset	24	226907
227.14	0.0	Sequence Buffer start	61	227140
235.209	0.0	Sequence Buffer stop	62	235209
236.336	0.0	sequencesound coin	71	236336
236.837	0.0	fixation pre 1	81	236837
240.645	0.0	localizer Cat onset	3	240645
244.383	0.0	localizer Cat onset	3	244383
247.32	0.0	localizer Chair onset	5	247320
251.326	0.0	localizer Face distractor onset	101	251326
251.939	0.0	localizer sound coin	31	251939
255.198	0.0	localizer Shoe onset	4	255198
258.619	0.0	localizer Shoe onset	4	258619
261.756	0.0	localizer House onset	2	261756
265.16	0.0	localizer Chair onset	5	265160
267.597	0.0	localizer Shoe distractor onset	104	267597
268.261	0.0	localizer sound coin	31	268261
270.201	0.0	localizer Chair onset	5	270201
273.421	0.0	localizer Chair onset	5	273421
277.477	0.0	localizer Cat onset	3	277477
279.997	0.0	localizer House distractor onset	102	279997
280.661	0.0	localizer sound coin	31	280661
283.401	0.0	localizer Shoe onset	4	283401
286.222	0.0	localizer Face onset	1	286222
289.659	0.0	localizer Chair distractor onset	105	289659
290.223	0.0	localizer sound coin	31	290223
292.763	0.0	localizer House onset	2	292763
296.034	0.0	localizer Face onset	1	296034
299.839	0.0	localizer Face onset	1	299839
302.962	0.0	localizer Cat onset	3	302962
306.264	0.0	localizer Face onset	1	306264
310.07	0.0	localizer House onset	2	310070
313.708	0.0	localizer House onset	2	313708
316.645	0.0	localizer Cat distractor onset	103	316645
317.259	0.0	localizer sound coin	31	317259
320.851	0.0	localizer Shoe onset	4	320851
324.902	0.0	fixation pre 2	82	324902
328.409	0.0	cue Cat	13	328409
331.722	0.0	sequence Chair onset	25	331722
331.945	0.0	sequence Face onset	21	331945
332.178	0.0	sequence Shoe onset	24	332178
332.412	0.0	sequence Cat onset	23	332412
332.649	0.0	sequence House onset	22	332649
332.88	0.0	Sequence Buffer start	61	332880
340.951	0.0	Sequence Buffer stop	62	340951
341.658	0.0	sequencesound coin	71	341658
342.159	0.0	cue Cat	13	342159
345.473	0.0	sequence Shoe onset	24	345473
345.596	0.0	sequence House onset	22	345596
345.729	0.0	sequence Face onset	21	345729
345.863	0.0	sequence Cat onset	23	345863
345.996	0.0	sequence Chair onset	25	345996
346.13	0.0	Sequence Buffer start	61	346130
354.659	0.0	Sequence Buffer stop	62	354659
355.409	0.0	sequencesound coin	71	355409
355.911	0.0	cue Chair	15	355911
359.223	0.0	sequence House onset	22	359223
359.397	0.0	sequence Face onset	21	359397
359.581	0.0	sequence Cat onset	23	359581
359.748	0.0	sequence Shoe onset	24	359748
359.915	0.0	sequence Chair onset	25	359915
360.082	0.0	Sequence Buffer start	61	360082
368.472	0.0	Sequence Buffer stop	62	368472
369.361	0.0	sequencesound coin	71	369361
369.863	0.0	cue House	12	369863
373.175	0.0	sequence Shoe onset	24	373175
373.349	0.0	sequence Face onset	21	373349
373.516	0.0	sequence Chair onset	25	373516
373.683	0.0	sequence Cat onset	23	373683
373.85	0.0	sequence House onset	22	373850
374.017	0.0	Sequence Buffer start	61	374017
382.389	0.0	Sequence Buffer stop	62	382389
383.313	0.0	sequencesound coin	71	383313
383.816	0.0	cue Shoe	14	383816
387.126	0.0	sequence Chair onset	25	387126
387.735	0.0	sequence Face onset	21	387735
388.352	0.0	sequence House onset	22	388352
388.97	0.0	sequence Shoe onset	24	388970
389.587	0.0	sequence Cat onset	23	389587
390.205	0.0	Sequence Buffer start	61	390205
396.358	0.0	Sequence Buffer stop	62	396358
397.348	0.0	sequencesound coin	71	397348
397.851	0.0	cue Face	11	397851
401.163	0.0	sequence Cat onset	23	401163
401.403	0.0	sequence Chair onset	25	401403
401.636	0.0	sequence House onset	22	401636
401.87	0.0	sequence Face onset	21	401870
402.104	0.0	sequence Shoe onset	24	402104
402.337	0.0	Sequence Buffer start	61	402337
410.404	0.0	Sequence Buffer stop	62	410404
411.233	0.0	sequencesound coin	71	411233
411.736	0.0	cue Shoe	14	411736
415.048	0.0	sequence Face onset	21	415048
415.169	0.0	sequence Cat onset	23	415169
415.304	0.0	sequence House onset	22	415304
415.438	0.0	sequence Shoe onset	24	415438
415.571	0.0	sequence Chair onset	25	415571
415.705	0.0	Sequence Buffer start	61	415705
424.243	0.0	Sequence Buffer stop	62	424243
424.984	0.0	sequencesound coin	71	424984
425.486	0.0	cue Cat	13	425486
428.8	0.0	sequence Shoe onset	24	428800
429.406	0.0	sequence Cat onset	23	429406
430.024	0.0	sequence Chair onset	25	430024
430.641	0.0	sequence Face onset	21	430641
431.259	0.0	sequence House onset	22	431259
431.876	0.0	Sequence Buffer start	61	431876
438.03	0.0	Sequence Buffer stop	62	438030
439.119	0.0	sequencesound coin	71	439119
451.869	0.0	Break stop	92	451869
451.88	0.0	fixation pre 1	81	451880
455.678	0.0	localizer Cat onset	3	455678
459.383	0.0	localizer House onset	2	459383
462.787	0.0	localizer House distractor onset	102	462787
463.535	0.0	localizer sound coin	31	463535
466.225	0.0	localizer Shoe onset	4	466225
469.963	0.0	localizer Face onset	1	469963
472.783	0.0	localizer Face onset	1	472783
475.988	0.0	localizer Shoe distractor onset	104	475988
476.619	0.0	localizer sound coin	31	476619
479.793	0.0	localizer Chair onset	5	479793
482.747	0.0	localizer Chair onset	5	482747
486.619	0.0	localizer House onset	2	486619
489.889	0.0	localizer Chair onset	5	489889
492.81	0.0	localizer Cat onset	3	492810
496.698	0.0	localizer Chair distractor onset	105	496698
497.279	0.0	localizer sound coin	31	497279
499.886	0.0	localizer Face onset	1	499886
502.84	0.0	localizer Chair onset	5	502840
505.994	0.0	localizer Shoe onset	4	505994
509.565	0.0	localizer Shoe onset	4	509565
512.986	0.0	localizer House onset	2	512986
515.507	0.0	localizer Face distractor onset	101	515507
516.12	0.0	localizer sound coin	31	516120
519.962	0.0	localizer Cat onset	3	519962
523.867	0.0	localizer Face onset	1	523867
527.606	0.0	localizer House onset	2	527606
531.945	0.0	localizer Cat distractor onset	103	531945
532.609	0.0	localizer sound coin	31	532609
535.099	0.0	localizer Shoe onset	4	535099
538.67	0.0	localizer Cat onset	3	538670
541.638	0.0	fixation pre 2	82	541638
545.144	0.0	cue Face	11	545144
548.457	0.0	sequence Shoe onset	24	548457
548.596	0.0	sequence House onset	22	548596
548.73	0.0	sequence Face onset	21	548730
548.863	0.0	sequence Cat onset	23	548863
548.997	0.0	sequence Chair onset	25	548997
549.131	0.0	Sequence Buffer start	61	549131
557.662	0.0	Sequence Buffer stop	62	557662
559.762	0.0	sequencesound coin	71	559762
560.263	0.0	cue Face	11	560263
563.577	0.0	sequence Shoe onset	24	563577
564.2	0.0	sequence Cat onset	23	564200
564.818	0.0	sequence Chair onset	25	564818
565.435	0.0	sequence Face onset	21	565435
566.053	0.0	sequence House onset	22	566053
566.67	0.0	Sequence Buffer start	61	566670
572.828	0.0	Sequence Buffer stop	62	572828
573.663	0.0	sequencesound coin	71	573663
574.165	0.0	cue House	12	574165
577.479	0.0	sequence Face onset	21	577479
577.601	0.0	sequence Cat onset	23	577601
577.735	0.0	sequence House onset	22	577735
577.868	0.0	sequence Shoe onset	24	577868
578.002	0.0	sequence Chair onset	25	578002
578.135	0.0	Sequence Buffer start	61	578135
586.666	0.0	Sequence Buffer stop	62	586666
587.982	0.0	sequencesound coin	71	587982
588.485	0.0	cue Shoe	14	588485
591.796	0.0	sequence House onset	22	591796
591.97	0.0	sequence Face onset	21	591970
592.137	0.0	sequence Cat onset	23	592137
592.304	0.0	sequence Shoe onset	24	592304
592.471	0.0	sequence Chair onset	25	592471
592.638	0.0	Sequence Buffer start	61	592638
601.025	0.0	Sequence Buffer stop	62	601025
601.917	0.0	sequencesound coin	71	601917
602.42	0.0	cue Cat	13	602420
605.733	0.0	sequence Chair onset	25	605733
606.356	0.0	sequence Face onset	21	606356
606.973	0.0	sequence House onset	22	606973
607.591	0.0	sequence Shoe onset	24	607591
608.208	0.0	sequence Cat onset	23	608208
608.826	0.0	Sequence Buffer start	61	608826
614.968	0.0	Sequence Buffer stop	62	614968
615.952	0.0	sequencesound coin	71	615952
616.454	0.0	cue Cat	13	616454
619.767	0.0	sequence Cat onset	23	619767
619.99	0.0	sequence Chair onset	25	619990
620.224	0.0	sequence House onset	22	620224
620.458	0.0	sequence Face onset	21	620458
620.691	0.0	sequence Shoe onset	24	620691
620.925	0.0	Sequence Buffer start	61	620925
628.989	0.0	Sequence Buffer stop	62	628989
629.837	0.0	sequencesound coin	71	629837
630.339	0.0	cue House	12	630339
633.653	0.0	sequence Shoe onset	24	633653
633.825	0.0	sequence Face onset	21	633825
633.992	0.0	sequence Chair onset	25	633992
634.159	0.0	sequence Cat onset	23	634159
634.326	0.0	sequence House onset	22	634326
634.493	0.0	Sequence Buffer start	61	634493
642.879	0.0	Sequence Buffer stop	62	642879
643.823	0.0	sequencesound coin	71	643823
644.324	0.0	cue Shoe	14	644324
647.636	0.0	sequence Chair onset	25	647636
647.877	0.0	sequence Face onset	21	647877
648.111	0.0	sequence Shoe onset	24	648111
648.344	0.0	sequence Cat onset	23	648344
648.578	0.0	sequence House onset	22	648578
648.812	0.0	Sequence Buffer start	61	648812
656.874	0.0	Sequence Buffer stop	62	656874
657.724	0.0	sequencesound coin	71	657724
658.224	0.0	fixation pre 1	81	658224
662.033	0.0	localizer Cat distractor onset	103	662033
663.047	0.0	localizer sound coin	31	663047
665.571	0.0	localizer House onset	2	665571
669.142	0.0	localizer House distractor onset	102	669142
669.789	0.0	localizer sound coin	31	669789
671.645	0.0	localizer Cat onset	3	671645
674.649	0.0	localizer Face onset	1	674649
677.486	0.0	localizer Chair onset	5	677486
681.959	0.0	localizer Face onset	1	681959
684.746	0.0	localizer Shoe onset	4	684746
688.117	0.0	localizer Shoe onset	4	688117
691.622	0.0	localizer House onset	2	691622
695.694	0.0	localizer Face onset	1	695694
698.898	0.0	localizer Face onset	1	698898
701.919	0.0	localizer House onset	2	701919
705.723	0.0	localizer Chair onset	5	705723
709.612	0.0	localizer Cat onset	3	709612
712.266	0.0	localizer Cat onset	3	712266
715.586	0.0	localizer Shoe distractor onset	104	715586
716.217	0.0	localizer sound coin	31	716217
718.44	0.0	localizer Chair onset	5	718440
721.611	0.0	localizer Shoe onset	4	721611
724.932	0.0	localizer Face distractor onset	101	724932
725.513	0.0	localizer sound coin	31	725513
728.688	0.0	localizer Cat onset	3	728688
731.724	0.0	localizer Chair distractor onset	105	731724
732.338	0.0	localizer sound coin	31	732338
734.478	0.0	localizer Chair onset	5	734478
737.816	0.0	localizer House onset	2	737816
741.037	0.0	localizer Shoe onset	4	741037
745.339	0.0	fixation pre 2	82	745339
748.846	0.0	cue House	12	748846
752.159	0.0	sequence Face onset	21	752159
752.298	0.0	sequence Cat onset	23	752298
752.432	0.0	sequence House onset	22	752432
752.565	0.0	sequence Shoe onset	24	752565
752.698	0.0	sequence Chair onset	25	752698
752.832	0.0	Sequence Buffer start	61	752832
761.367	0.0	Sequence Buffer stop	62	761367
763.096	0.0	sequencesound coin	71	763096
763.599	0.0	cue Chair	15	763599
766.911	0.0	sequence House onset	22	766911
767.067	0.0	sequence Face onset	21	767067
767.234	0.0	sequence Cat onset	23	767234
767.401	0.0	sequence Shoe onset	24	767401
767.568	0.0	sequence Chair onset	25	767568
767.735	0.0	Sequence Buffer start	61	767735
776.116	0.0	Sequence Buffer stop	62	776116
776.998	0.0	sequencesound coin	71	776998
777.501	0.0	cue Face	11	777501
780.813	0.0	sequence Shoe onset	24	780813
780.969	0.0	sequence Face onset	21	780969
781.136	0.0	sequence Chair onset	25	781136
