onset	duration	trial_type	value	sample
41.441	0.0	fixation pre 1	81	41441
45.251	0.0	localizer Chair onset	5	45251
48.855	0.0	localizer Chair onset	5	48855
52.11	0.0	localizer House distractor onset	102	52110
52.738	0.0	localizer sound coin	31	52738
54.879	0.0	localizer House onset	2	54879
58.016	0.0	localizer Shoe distractor onset	104	58016
58.696	0.0	localizer sound coin	31	58696
60.553	0.0	localizer House onset	2	60553
63.356	0.0	localizer Cat distractor onset	103	63356
63.986	0.0	localizer sound coin	31	63986
66.744	0.0	localizer House onset	2	66744
71.183	0.0	localizer Face onset	1	71183
74.604	0.0	localizer Chair onset	5	74604
78.709	0.0	localizer Cat onset	3	78709
81.88	0.0	localizer Face distractor onset	101	81880
82.544	0.0	localizer sound coin	31	82544
85.602	0.0	localizer House onset	2	85602
89.774	0.0	localizer Chair distractor onset	105	89774
90.439	0.0	localizer sound coin	31	90439
92.878	0.0	localizer Face onset	1	92878
96.316	0.0	localizer Face onset	1	96316
99.136	0.0	localizer Cat onset	3	99136
102.023	0.0	localizer Cat onset	3	102023
105.495	0.0	localizer Shoe onset	4	105495
108.148	0.0	localizer Face onset	1	108148
110.418	0.0	localizer Shoe onset	4	110418
113.906	0.0	localizer Cat onset	3	113906
117.144	0.0	localizer Chair onset	5	117144
120.347	0.0	localizer Shoe onset	4	120347
123.952	0.0	localizer Shoe onset	4	123952
127.053	0.0	fixation pre 2	82	127053
130.561	0.0	cue Face	11	130561
133.912	0.0	sequence House onset	22	133912
134.045	0.0	sequence Chair onset	25	134045
134.178	0.0	sequence Shoe onset	24	134178
134.312	0.0	sequence Face onset	21	134312
134.445	0.0	sequence Cat onset	23	134445
134.579	0.0	Sequence Buffer start	61	134579
143.128	0.0	Sequence Buffer stop	62	143128
145.644	0.0	sequence sound error	70	145644
146.146	0.0	cue Chair	15	146146
149.443	0.0	sequence Cat onset	23	149443
149.682	0.0	sequence Face onset	21	149682
149.916	0.0	sequence Shoe onset	24	149916
150.151	0.0	sequence Chair onset	25	150151
150.384	0.0	sequence House onset	22	150384
150.617	0.0	Sequence Buffer start	61	150617
158.683	0.0	Sequence Buffer stop	62	158683
159.663	0.0	sequencesound coin	71	159663
160.167	0.0	cue House	12	160167
163.478	0.0	sequence Face onset	21	163478
163.634	0.0	sequence Cat onset	23	163634
163.801	0.0	sequence Chair onset	25	163801
163.968	0.0	sequence House onset	22	163968
164.134	0.0	sequence Shoe onset	24	164134
164.301	0.0	Sequence Buffer start	61	164301
172.678	0.0	Sequence Buffer stop	62	172678
173.932	0.0	sequencesound coin	71	173932
174.433	0.0	cue House	12	174433
177.747	0.0	sequence Shoe onset	24	177747
178.37	0.0	sequence Cat onset	23	178370
178.987	0.0	sequence Face onset	21	178987
179.605	0.0	sequence Chair onset	25	179605
180.223	0.0	sequence House onset	22	180223
180.84	0.0	Sequence Buffer start	61	180840
186.985	0.0	Sequence Buffer stop	62	186985
188.151	0.0	sequencesound coin	71	188151
188.652	0.0	cue House	12	188652
191.969	0.0	sequence Face onset	21	191969
192.105	0.0	sequence Chair onset	25	192105
192.238	0.0	sequence Shoe onset	24	192238
192.372	0.0	sequence Cat onset	23	192372
192.505	0.0	sequence House onset	22	192505
192.639	0.0	Sequence Buffer start	61	192639
201.188	0.0	Sequence Buffer stop	62	201188
202.486	0.0	sequencesound coin	71	202486
202.988	0.0	cue Shoe	14	202988
206.301	0.0	sequence Face onset	21	206301
