onset	duration	trial_type	value	sample
30.354	0.0	fixation pre 1	81	30354
34.163	0.0	localizer Cat onset	3	34163
37.066	0.0	localizer Cat onset	3	37066
40.655	0.0	localizer House onset	2	40655
43.458	0.0	localizer Cat onset	3	43458
45.811	0.0	localizer Chair onset	5	45811
49.315	0.0	localizer Chair distractor onset	105	49315
50.03	0.0	localizer sound coin	31	50030
53.39	0.0	localizer House onset	2	53390
56.124	0.0	localizer Chair onset	5	56124
59.228	0.0	localizer Cat onset	3	59228
63.167	0.0	localizer Face distractor onset	101	63167
63.781	0.0	localizer sound coin	31	63781
66.789	0.0	localizer Face onset	1	66789
69.709	0.0	localizer House distractor onset	102	69709
70.223	0.0	localizer sound coin	31	70223
72.896	0.0	localizer Shoe onset	4	72896
75.2	0.0	localizer House onset	2	75200
78.604	0.0	localizer House onset	2	78604
82.326	0.0	localizer Face onset	1	82326
86.314	0.0	localizer Shoe onset	4	86314
89.218	0.0	localizer Face onset	1	89218
92.889	0.0	localizer Chair onset	5	92889
96.277	0.0	localizer Shoe onset	4	96277
99.281	0.0	localizer Chair onset	5	99281
102.135	0.0	localizer Face onset	1	102135
106.574	0.0	localizer Cat distractor onset	103	106574
107.138	0.0	localizer sound coin	31	107138
109.478	0.0	localizer Shoe onset	4	109478
113.951	0.0	localizer Shoe distractor onset	104	113951
114.481	0.0	localizer sound coin	31	114481
116.2	0.0	fixation pre 2	82	116200
119.707	0.0	cue Shoe	14	119707
123.058	0.0	sequence Face onset	21	123058
123.226	0.0	sequence Shoe onset	24	123226
123.392	0.0	sequence Chair onset	25	123392
123.559	0.0	sequence House onset	22	123559
123.727	0.0	sequence Cat onset	23	123727
123.893	0.0	Sequence Buffer start	61	123893
132.279	0.0	Sequence Buffer stop	62	132279
133.073	0.0	sequencesound coin	71	133073
133.576	0.0	cue Cat	13	133576
136.889	0.0	sequence Face onset	21	136889
137.01	0.0	sequence Shoe onset	24	137010
137.144	0.0	sequence Chair onset	25	137144
