onset	duration	trial_type	value	sample
1.797	0.0	localizer Cat onset	3	1797
3.849	0.0	localizer Chair distractor onset	105	3849
4.33	0.0	localizer sound coin	31	4330
6.403	0.0	localizer Cat onset	3	6403
9.824	0.0	localizer Face onset	1	9824
13.362	0.0	localizer Face distractor onset	101	13362
13.859	0.0	localizer sound coin	31	13859
16.717	0.0	localizer House onset	2	16717
20.288	0.0	localizer Shoe onset	4	20288
24.176	0.0	localizer Cat onset	3	24176
27.047	0.0	localizer House onset	2	27047
30.034	0.0	localizer House distractor onset	102	30034
30.481	0.0	localizer sound coin	31	30481
33.422	0.0	localizer Face onset	1	33422
36.96	0.0	localizer Cat onset	3	36960
40.564	0.0	localizer Shoe onset	4	40564
44.236	0.0	localizer Shoe onset	4	44236
46.338	0.0	localizer Chair onset	5	46338
49.089	0.0	fixation pre 2	82	49089
52.596	0.0	cue House	12	52596
55.942	0.0	sequence Face onset	21	55942
56.165	0.0	sequence Chair onset	25	56165
56.398	0.0	sequence Cat onset	23	56398
56.632	0.0	sequence Shoe onset	24	56632
56.866	0.0	sequence House onset	22	56866
57.099	0.0	Sequence Buffer start	61	57099
65.157	0.0	Sequence Buffer stop	62	65157
65.844	0.0	sequencesound coin	71	65844
66.345	0.0	cue House	12	66345
69.661	0.0	sequence Cat onset	23	69661
69.883	0.0	sequence Shoe onset	24	69883
70.116	0.0	sequence Face onset	21	70116
70.35	0.0	sequence Chair onset	25	70350
70.584	0.0	sequence House onset	22	70584
70.817	0.0	Sequence Buffer start	61	70817
78.892	0.0	Sequence Buffer stop	62	78892
79.563	0.0	sequencesound coin	71	79563
80.064	0.0	cue House	12	80064
83.378	0.0	sequence Cat onset	23	83378
83.551	0.0	sequence Chair onset	25	83551
83.718	0.0	sequence Shoe onset	24	83718
83.884	0.0	sequence Face onset	21	83884
84.052	0.0	sequence House onset	22	84052
84.218	0.0	Sequence Buffer start	61	84218
92.601	0.0	Sequence Buffer stop	62	92601
93.331	0.0	sequencesound coin	71	93331
93.833	0.0	cue Cat	13	93833
97.146	0.0	sequence Shoe onset	24	97146
97.77	0.0	sequence Face onset	21	97770
98.387	0.0	sequence Chair onset	25	98387
99.004	0.0	sequence House onset	22	99004
99.622	0.0	sequence Cat onset	23	99622
100.24	0.0	Sequence Buffer start	61	100240
106.387	0.0	Sequence Buffer stop	62	106387
107.015	0.0	sequencesound coin	71	107015
107.518	0.0	cue Shoe	14	107518
110.831	0.0	sequence Cat onset	23	110831
110.953	0.0	sequence Chair onset	25	110953
111.087	0.0	sequence Face onset	21	111087
111.22	0.0	sequence House onset	22	111220
111.354	0.0	sequence Shoe onset	24	111354
111.487	0.0	Sequence Buffer start	61	111487
120.018	0.0	Sequence Buffer stop	62	120018
120.683	0.0	sequencesound coin	71	120683
121.185	0.0	cue Shoe	14	121185
124.499	0.0	sequence House onset	22	124499
124.621	0.0	sequence Chair onset	25	124621
124.755	0.0	sequence Face onset	21	124755
124.888	0.0	sequence Cat onset	23	124888
125.022	0.0	sequence Shoe onset	24	125022
125.155	0.0	Sequence Buffer start	61	125155
133.675	0.0	Sequence Buffer stop	62	133675
134.351	0.0	sequencesound coin	71	134351
134.854	0.0	cue Face	11	134854
138.167	0.0	sequence House onset	22	138167
138.339	0.0	sequence Shoe onset	24	138339
138.506	0.0	sequence Face onset	21	138506
138.673	0.0	sequence Cat onset	23	138673
138.84	0.0	sequence Chair onset	25	138840
139.007	0.0	Sequence Buffer start	61	139007
147.383	0.0	Sequence Buffer stop	62	147383
148.002	0.0	sequencesound coin	71	148002
148.505	0.0	cue Shoe	14	148505
151.818	0.0	sequence House onset	22	151818
152.425	0.0	sequence Cat onset	23	152425
153.042	0.0	sequence Face onset	21	153042
153.66	0.0	sequence Shoe onset	24	153660
154.277	0.0	sequence Chair onset	25	154277
154.895	0.0	Sequence Buffer start	61	154895
161.04	0.0	Sequence Buffer stop	62	161040
161.754	0.0	sequencesound coin	71	161754
162.255	0.0	fixation pre 1	81	162255
166.063	0.0	localizer Shoe onset	4	166063
168.249	0.0	localizer Cat distractor onset	103	168249
169.747	0.0	localizer sound error	30	169747
171.42	0.0	localizer Chair onset	5	171420
174.64	0.0	localizer Chair onset	5	174640
177.294	0.0	localizer Shoe distractor onset	104	177294
177.808	0.0	localizer sound coin	31	177808
180.181	0.0	localizer Shoe onset	4	180181
182.902	0.0	localizer House distractor onset	102	182902
183.466	0.0	localizer sound coin	31	183466
185.522	0.0	localizer Cat onset	3	185522
188.71	0.0	localizer House onset	2	188710
192.948	0.0	localizer Chair onset	5	192948
196.72	0.0	localizer Face onset	1	196720
200.141	0.0	localizer Chair onset	5	200141
204.614	0.0	localizer House onset	2	204614
208.252	0.0	localizer House onset	2	208252
211.406	0.0	localizer Face onset	1	211406
215.178	0.0	localizer Face onset	1	215178
219.082	0.0	localizer Cat onset	3	219082
221.586	0.0	localizer Cat onset	3	221586
224.206	0.0	localizer Shoe onset	4	224206
227.51	0.0	localizer Chair distractor onset	105	227510
227.974	0.0	localizer sound coin	31	227974
230.748	0.0	localizer Cat onset	3	230748
234.403	0.0	localizer Face onset	1	234403
237.807	0.0	localizer Shoe onset	4	237807
241.245	0.0	localizer Face distractor onset	101	241245
241.776	0.0	localizer sound coin	31	241776
244.767	0.0	localizer House onset	2	244767
247.667	0.0	fixation pre 2	82	247667
251.173	0.0	cue House	12	251173
254.485	0.0	sequence Cat onset	23	254485
254.642	0.0	sequence Chair onset	25	254642
254.809	0.0	sequence Shoe onset	24	254809
254.976	0.0	sequence Face onset	21	254976
255.143	0.0	sequence House onset	22	255143
255.31	0.0	Sequence Buffer start	61	255310
263.686	0.0	Sequence Buffer stop	62	263686
264.422	0.0	sequencesound coin	71	264422
264.925	0.0	cue Chair	15	264925
268.239	0.0	sequence Cat onset	23	268239
268.477	0.0	sequence Shoe onset	24	268477
268.711	0.0	sequence Face onset	21	268711
268.945	0.0	sequence Chair onset	25	268945
269.178	0.0	sequence House onset	22	269178
269.412	0.0	Sequence Buffer start	61	269412
277.473	0.0	Sequence Buffer stop	62	277473
278.124	0.0	sequencesound coin	71	278124
278.625	0.0	cue Chair	15	278625
281.94	0.0	sequence House onset	22	281940
282.563	0.0	sequence Cat onset	23	282563
283.18	0.0	sequence Face onset	21	283180
283.797	0.0	sequence Shoe onset	24	283797
284.415	0.0	sequence Chair onset	25	284415
285.032	0.0	Sequence Buffer start	61	285032
291.181	0.0	Sequence Buffer stop	62	291181
291.808	0.0	sequencesound coin	71	291808
292.311	0.0	cue Shoe	14	292311
295.624	0.0	sequence House onset	22	295624
295.747	0.0	sequence Chair onset	25	295747
295.88	0.0	sequence Face onset	21	295880
296.013	0.0	sequence Cat onset	23	296013
296.147	0.0	sequence Shoe onset	24	296147
296.281	0.0	Sequence Buffer start	61	296281
304.812	0.0	Sequence Buffer stop	62	304812
305.41	0.0	sequencesound coin	71	305410
305.913	0.0	cue Cat	13	305913
309.224	0.0	sequence Shoe onset	24	309224
309.849	0.0	sequence Face onset	21	309849
310.466	0.0	sequence Chair onset	25	310466
311.083	0.0	sequence House onset	22	311083
311.701	0.0	sequence Cat onset	23	311701
312.318	0.0	Sequence Buffer start	61	312318
318.468	0.0	Sequence Buffer stop	62	318468
319.295	0.0	sequencesound coin	71	319295
319.797	0.0	cue Shoe	14	319797
323.111	0.0	sequence Face onset	21	323111
323.349	0.0	sequence Chair onset	25	323349
323.583	0.0	sequence Cat onset	23	323583
323.817	0.0	sequence Shoe onset	24	323817
324.05	0.0	sequence House onset	22	324050
324.284	0.0	Sequence Buffer start	61	324284
332.333	0.0	Sequence Buffer stop	62	332333
332.912	0.0	sequencesound coin	71	332912
333.415	0.0	cue Chair	15	333415
336.728	0.0	sequence House onset	22	336728
336.884	0.0	sequence Shoe onset	24	336884
337.051	0.0	sequence Face onset	21	337051
337.218	0.0	sequence Cat onset	23	337218
337.385	0.0	sequence Chair onset	25	337385
337.552	0.0	Sequence Buffer start	61	337552
345.938	0.0	Sequence Buffer stop	62	345938
346.547	0.0	sequencesound coin	71	346547
347.049	0.0	cue Shoe	14	347049
350.361	0.0	sequence Cat onset	23	350361
350.502	0.0	sequence Chair onset	25	350502
