onset	duration	trial_type	value	sample
38.776	0.0	fixation pre 1	81	38776
42.585	0.0	localizer House onset	2	42585
46.089	0.0	localizer House onset	2	46089
49.71	0.0	localizer Face onset	1	49710
53.048	0.0	localizer Chair onset	5	53048
57.055	0.0	localizer Chair distractor onset	105	57055
57.651	0.0	localizer sound coin	31	57651
60.408	0.0	localizer House onset	2	60408
63.045	0.0	localizer Shoe onset	4	63045
66.349	0.0	localizer Shoe onset	4	66349
69.37	0.0	localizer Cat onset	3	69370
72.157	0.0	localizer Face onset	1	72157
75.01	0.0	localizer Face distractor onset	101	75010
75.574	0.0	localizer sound coin	31	75574
77.798	0.0	localizer Shoe onset	4	77798
81.953	0.0	localizer House onset	2	81953
84.857	0.0	localizer Cat onset	3	84857
87.794	0.0	localizer House distractor onset	102	87794
88.308	0.0	localizer sound coin	31	88308
91.031	0.0	localizer Chair onset	5	91031
94.469	0.0	localizer Cat onset	3	94469
97.757	0.0	localizer Cat onset	3	97757
100.761	0.0	localizer Shoe onset	4	100761
103.898	0.0	localizer Chair onset	5	103898
106.552	0.0	localizer Shoe distractor onset	104	106552
107.132	0.0	localizer sound coin	31	107132
108.855	0.0	localizer Face onset	1	108855
111.943	0.0	localizer Cat distractor onset	103	111943
112.439	0.0	localizer sound coin	31	112439
115.213	0.0	localizer Chair onset	5	115213
118.501	0.0	localizer Face onset	1	118501
120.951	0.0	fixation pre 2	82	120951
124.458	0.0	cue Shoe	14	124458
127.805	0.0	sequence Face onset	21	127805
127.926	0.0	sequence House onset	22	127926
128.06	0.0	sequence Shoe onset	24	128060
128.21	0.0	sequence Chair onset	25	128210
128.344	0.0	sequence Cat onset	23	128344
128.478	0.0	Sequence Buffer start	61	128478
136.998	0.0	Sequence Buffer stop	62	136998
138.007	0.0	sequencesound coin	71	138007
138.509	0.0	cue Chair	15	138509
141.823	0.0	sequence Face onset	21	141823
141.995	0.0	sequence Cat onset	23	141995
142.162	0.0	sequence Shoe onset	24	142162
142.329	0.0	sequence Chair onset	25	142329
142.495	0.0	sequence House onset	22	142495
142.663	0.0	Sequence Buffer start	61	142663
151.045	0.0	Sequence Buffer stop	62	151045
152.042	0.0	sequencesound coin	71	152042
152.546	0.0	cue Face	11	152546
155.857	0.0	sequence Shoe onset	24	155857
156.464	0.0	sequence House onset	22	156464
157.081	0.0	sequence Cat onset	23	157081
157.699	0.0	sequence Chair onset	25	157699
158.316	0.0	sequence Face onset	21	158316
158.934	0.0	Sequence Buffer start	61	158934
165.092	0.0	Sequence Buffer stop	62	165092
166.661	0.0	sequencesound coin	71	166661
167.164	0.0	cue Shoe	14	167164
170.477	0.0	sequence Face onset	21	170477
170.716	0.0	sequence Cat onset	23	170716
170.95	0.0	sequence Chair onset	25	170950
171.183	0.0	sequence Shoe onset	24	171183
171.417	0.0	sequence House onset	22	171417
171.651	0.0	Sequence Buffer start	61	171651
179.711	0.0	Sequence Buffer stop	62	179711
182.215	0.0	sequence sound error	70	182215
182.716	0.0	cue Shoe	14	182716
186.031	0.0	sequence Chair onset	25	186031
186.186	0.0	sequence Cat onset	23	186186
186.353	0.0	sequence House onset	22	186353
186.52	0.0	sequence Face onset	21	186520
186.687	0.0	sequence Shoe onset	24	186687
186.854	0.0	Sequence Buffer start	61	186854
195.241	0.0	Sequence Buffer stop	62	195241
196.1	0.0	sequencesound coin	71	196100
196.604	0.0	cue Cat	13	196604
199.915	0.0	sequence Shoe onset	24	199915
200.522	0.0	sequence House onset	22	200522
201.139	0.0	sequence Cat onset	23	201139
201.757	0.0	sequence Face onset	21	201757
202.374	0.0	sequence Chair onset	25	202374
202.992	0.0	Sequence Buffer start	61	202992
209.132	0.0	Sequence Buffer stop	62	209132
210.202	0.0	sequencesound coin	71	210202
210.705	0.0	cue Chair	15	210705
214.017	0.0	sequence Face onset	21	214017
214.257	0.0	sequence Cat onset	23	214257
214.49	0.0	sequence Shoe onset	24	214490
214.724	0.0	sequence House onset	22	214724
214.957	0.0	sequence Chair onset	25	214957
215.191	0.0	Sequence Buffer start	61	215191
223.256	0.0	Sequence Buffer stop	62	223256
224.204	0.0	sequencesound coin	71	224204
224.705	0.0	cue Chair	15	224705
228.019	0.0	sequence Face onset	21	228019
228.142	0.0	sequence Cat onset	23	228142
228.275	0.0	sequence House onset	22	228275
228.409	0.0	sequence Chair onset	25	228409
228.542	0.0	sequence Shoe onset	24	228542
228.676	0.0	Sequence Buffer start	61	228676
237.225	0.0	Sequence Buffer stop	62	237225
238.022	0.0	sequencesound coin	71	238022
238.523	0.0	fixation pre 1	81	238523
242.33	0.0	localizer Face onset	1	242330
244.583	0.0	localizer Chair onset	5	244583
247.303	0.0	localizer Cat onset	3	247303
251.576	0.0	localizer Shoe distractor onset	104	251576
252.374	0.0	localizer sound coin	31	252374
254.013	0.0	localizer Shoe onset	4	254013
257.684	0.0	localizer Cat onset	3	257684
261.307	0.0	localizer Face onset	1	261307
264.927	0.0	localizer Cat onset	3	264927
268.466	0.0	localizer Cat distractor onset	103	268466
268.983	0.0	localizer sound coin	31	268983
270.751	0.0	localizer House onset	2	270751
273.707	0.0	localizer Shoe onset	4	273707
277.344	0.0	localizer Face onset	1	277344
280.581	0.0	localizer Face onset	1	280581
284.019	0.0	localizer Shoe onset	4	284019
286.89	0.0	localizer House distractor onset	102	286890
287.436	0.0	localizer sound coin	31	287436
290.01	0.0	localizer Chair onset	5	290010
292.897	0.0	localizer House onset	2	292897
295.884	0.0	localizer Cat onset	3	295884
298.955	0.0	localizer Chair onset	5	298955
301.558	0.0	localizer Shoe onset	4	301558
305.247	0.0	localizer Chair distractor onset	105	305247
305.827	0.0	localizer sound coin	31	305827
308.901	0.0	localizer Chair onset	5	308901
311.972	0.0	localizer Face distractor onset	101	311972
312.536	0.0	localizer sound coin	31	312536
315.144	0.0	localizer House onset	2	315144
319.566	0.0	localizer House onset	2	319566
322.733	0.0	fixation pre 2	82	322733
326.238	0.0	cue Chair	15	326238
329.551	0.0	sequence Face onset	21	329551
329.675	0.0	sequence Cat onset	23	329675
329.809	0.0	sequence House onset	22	329809
329.942	0.0	sequence Chair onset	25	329942
330.076	0.0	sequence Shoe onset	24	330076
330.209	0.0	Sequence Buffer start	61	330209
338.752	0.0	Sequence Buffer stop	62	338752
339.672	0.0	sequencesound coin	71	339672
340.176	0.0	cue Shoe	14	340176
343.488	0.0	sequence Face onset	21	343488
343.727	0.0	sequence Cat onset	23	343727
343.961	0.0	sequence Shoe onset	24	343961
344.195	0.0	sequence House onset	22	344195
344.428	0.0	sequence Chair onset	25	344428
344.662	0.0	Sequence Buffer start	61	344662
352.721	0.0	Sequence Buffer stop	62	352721
353.49	0.0	sequencesound coin	71	353490
353.994	0.0	cue Face	11	353994
357.306	0.0	sequence Chair onset	25	357306
357.479	0.0	sequence Cat onset	23	357479
357.645	0.0	sequence House onset	22	357645
357.812	0.0	sequence Face onset	21	357812
357.979	0.0	sequence Shoe onset	24	357979
358.144	0.0	Sequence Buffer start	61	358144
366.534	0.0	Sequence Buffer stop	62	366534
367.359	0.0	sequencesound coin	71	367359
367.861	0.0	cue House	12	367861
371.174	0.0	sequence Face onset	21	371174
371.297	0.0	sequence House onset	22	371297
371.43	0.0	sequence Shoe onset	24	371430
371.564	0.0	sequence Chair onset	25	371564
371.697	0.0	sequence Cat onset	23	371697
371.831	0.0	Sequence Buffer start	61	371831
380.373	0.0	Sequence Buffer stop	62	380373
381.21	0.0	sequencesound coin	71	381210
381.712	0.0	cue Cat	13	381712
385.025	0.0	sequence Shoe onset	24	385025
385.649	0.0	sequence House onset	22	385649
