onset	duration	trial_type	value	sample
25.868	0.0	fixation pre 1	81	25868
29.677	0.0	localizer Shoe distractor onset	104	29677
30.307	0.0	localizer sound coin	31	30307
33.431	0.0	localizer Shoe onset	4	33431
36.653	0.0	localizer Face distractor onset	101	36653
37.266	0.0	localizer sound coin	31	37266
39.34	0.0	localizer House onset	2	39340
40.02	0.0	localizer sound error	30	40020
43.344	0.0	localizer Shoe onset	4	43344
46.232	0.0	localizer House distractor onset	102	46232
46.879	0.0	localizer sound coin	31	46879
48.268	0.0	localizer House onset	2	48268
51.923	0.0	localizer Face onset	1	51923
52.453	0.0	localizer sound error	30	52453
55.51	0.0	localizer Cat onset	3	55510
58.581	0.0	localizer Face onset	1	58581
62.069	0.0	localizer Chair onset	5	62069
66.024	0.0	localizer Chair distractor onset	105	66024
66.705	0.0	localizer sound coin	31	66705
68.678	0.0	localizer Shoe onset	4	68678
71.765	0.0	localizer Chair onset	5	71765
74.202	0.0	localizer House onset	2	74202
77.44	0.0	localizer Chair onset	5	77440
80.16	0.0	localizer Cat onset	3	80160
83.864	0.0	localizer Chair onset	5	83864
88.004	0.0	localizer Face onset	1	88004
92.059	0.0	localizer Face onset	1	92059
94.813	0.0	localizer Shoe onset	4	94813
97.767	0.0	localizer Cat onset	3	97767
100.453	0.0	localizer House onset	2	100453
103.491	0.0	localizer Cat onset	3	103491
107.562	0.0	localizer Cat distractor onset	103	107562
108.159	0.0	localizer sound coin	31	108159
110.246	0.0	fixation pre 2	82	110246
113.753	0.0	cue Face	11	113753
117.1	0.0	sequence Cat onset	23	117100
117.321	0.0	sequence Shoe onset	24	117321
117.555	0.0	sequence House onset	22	117555
117.789	0.0	sequence Face onset	21	117789
118.022	0.0	sequence Chair onset	25	118022
118.256	0.0	Sequence Buffer start	61	118256
126.321	0.0	Sequence Buffer stop	62	126321
127.402	0.0	sequencesound coin	71	127402
127.905	0.0	cue Chair	15	127905
131.218	0.0	sequence Face onset	21	131218
131.39	0.0	sequence Cat onset	23	131390
131.557	0.0	sequence Chair onset	25	131557
131.724	0.0	sequence House onset	22	131724
131.891	0.0	sequence Shoe onset	24	131891
132.058	0.0	Sequence Buffer start	61	132058
140.446	0.0	Sequence Buffer stop	62	140446
141.304	0.0	sequencesound coin	71	141304
141.805	0.0	cue Chair	15	141805
145.12	0.0	sequence Shoe onset	24	145120
145.742	0.0	sequence Cat onset	23	145742
146.36	0.0	sequence Face onset	21	146360
146.977	0.0	sequence Chair onset	25	146977
147.595	0.0	sequence House onset	22	147595
148.212	0.0	Sequence Buffer start	61	148212
154.363	0.0	Sequence Buffer stop	62	154363
155.306	0.0	sequencesound coin	71	155306
155.809	0.0	cue Shoe	14	155809
159.121	0.0	sequence House onset	22	159121
159.26	0.0	sequence Chair onset	25	159260
159.393	0.0	sequence Shoe onset	24	159393
159.527	0.0	sequence Face onset	21	159527
159.66	0.0	sequence Cat onset	23	159660
159.794	0.0	Sequence Buffer start	61	159794
168.331	0.0	Sequence Buffer stop	62	168331
169.14	0.0	sequencesound coin	71	169140
169.643	0.0	cue Chair	15	169643
172.956	0.0	sequence Cat onset	23	172956
173.178	0.0	sequence Face onset	21	173178
173.412	0.0	sequence Shoe onset	24	173412
173.646	0.0	sequence Chair onset	25	173646
173.879	0.0	sequence House onset	22	173879
174.113	0.0	Sequence Buffer start	61	174113
182.17	0.0	Sequence Buffer stop	62	182170
183.042	0.0	sequencesound coin	71	183042
183.544	0.0	cue House	12	183544
186.856	0.0	sequence Face onset	21	186856
186.98	0.0	sequence Chair onset	25	186980
187.113	0.0	sequence Shoe onset	24	187113
187.247	0.0	sequence Cat onset	23	187247
187.38	0.0	sequence House onset	22	187380
187.514	0.0	Sequence Buffer start	61	187514
196.061	0.0	Sequence Buffer stop	62	196061
197.177	0.0	sequencesound coin	71	197177
197.679	0.0	cue House	12	197679
200.993	0.0	sequence Chair onset	25	200993
201.616	0.0	sequence Cat onset	23	201616
202.233	0.0	sequence Face onset	21	202233
202.851	0.0	sequence Shoe onset	24	202851
203.468	0.0	sequence House onset	22	203468
204.086	0.0	Sequence Buffer start	61	204086
210.238	0.0	Sequence Buffer stop	62	210238
211.062	0.0	sequencesound coin	71	211062
211.564	0.0	cue Chair	15	211564
214.878	0.0	sequence Face onset	21	214878
215.033	0.0	sequence Shoe onset	24	215033
215.2	0.0	sequence Cat onset	23	215200
215.367	0.0	sequence House onset	22	215367
215.534	0.0	sequence Chair onset	25	215534
215.701	0.0	Sequence Buffer start	61	215701
224.077	0.0	Sequence Buffer stop	62	224077
225.097	0.0	sequencesound coin	71	225097
225.598	0.0	fixation pre 1	81	225598
229.406	0.0	localizer Shoe onset	4	229406
232.276	0.0	localizer Chair distractor onset	105	232276
232.957	0.0	localizer sound coin	31	232957
235.765	0.0	localizer House onset	2	235765
239.052	0.0	localizer Cat onset	3	239052
242.507	0.0	localizer Shoe distractor onset	104	242507
243.137	0.0	localizer sound coin	31	243137
245.745	0.0	localizer Face onset	1	245745
248.297	0.0	localizer Cat onset	3	248297
251.67	0.0	localizer Cat onset	3	251670
255.207	0.0	localizer Face onset	1	255207
257.743	0.0	localizer Face onset	1	257743
261.766	0.0	localizer House onset	2	261766
265.487	0.0	localizer Face onset	1	265487
267.89	0.0	localizer Chair onset	5	267890
270.46	0.0	localizer Shoe onset	4	270460
273.566	0.0	localizer Cat onset	3	273566
276.552	0.0	localizer House onset	2	276552
279.772	0.0	localizer House distractor onset	102	279772
280.436	0.0	localizer sound coin	31	280436
282.726	0.0	localizer Shoe onset	4	282726
285.814	0.0	localizer Shoe onset	4	285814
289.319	0.0	localizer House onset	2	289319
292.556	0.0	localizer Chair onset	5	292556
295.359	0.0	localizer Chair onset	5	295359
298.23	0.0	localizer Cat distractor onset	103	298230
298.827	0.0	localizer sound coin	31	298827
301.768	0.0	localizer Chair onset	5	301768
305.139	0.0	localizer Face distractor onset	101	305139
305.786	0.0	localizer sound coin	31	305786
308.507	0.0	fixation pre 2	82	308507
312.012	0.0	cue Chair	15	312012
315.326	0.0	sequence Cat onset	23	315326
315.549	0.0	sequence Shoe onset	24	315549
315.783	0.0	sequence House onset	22	315783
316.016	0.0	sequence Face onset	21	316016
316.25	0.0	sequence Chair onset	25	316250
316.484	0.0	Sequence Buffer start	61	316484
324.563	0.0	Sequence Buffer stop	62	324563
325.463	0.0	sequencesound coin	71	325463
325.965	0.0	cue Shoe	14	325965
329.278	0.0	sequence Face onset	21	329278
329.417	0.0	sequence Chair onset	25	329417
329.551	0.0	sequence Shoe onset	24	329551
329.684	0.0	sequence Cat onset	23	329684
329.818	0.0	sequence House onset	22	329818
329.951	0.0	Sequence Buffer start	61	329951
338.48	0.0	Sequence Buffer stop	62	338480
339.197	0.0	sequencesound coin	71	339197
339.699	0.0	cue Shoe	14	339699
343.012	0.0	sequence Face onset	21	343012
343.185	0.0	sequence Cat onset	23	343185
343.352	0.0	sequence Chair onset	25	343352
343.519	0.0	sequence House onset	22	343519
343.686	0.0	sequence Shoe onset	24	343686
343.853	0.0	Sequence Buffer start	61	343853
352.241	0.0	Sequence Buffer stop	62	352241
353.266	0.0	sequencesound coin	71	353266
353.768	0.0	cue House	12	353768
357.081	0.0	sequence Shoe onset	24	357081
357.688	0.0	sequence Cat onset	23	357688
358.305	0.0	sequence Face onset	21	358305
