onset	duration	trial_type	value	sample
34.628	0.0	fixation pre 1	81	34628
38.437	0.0	localizer Face onset	1	38437
41.574	0.0	localizer Shoe distractor onset	104	41574
42.238	0.0	localizer sound coin	31	42238
45.715	0.0	localizer House onset	2	45715
49.101	0.0	localizer Chair onset	5	49101
52.639	0.0	localizer Chair onset	5	52639
57.111	0.0	localizer Shoe onset	4	57111
59.698	0.0	localizer Chair onset	5	59698
63.57	0.0	localizer House onset	2	63570
66.574	0.0	localizer House onset	2	66574
69.411	0.0	localizer Face distractor onset	101	69411
69.975	0.0	localizer sound coin	31	69975
71.897	0.0	localizer Face onset	1	71897
74.584	0.0	localizer Chair onset	5	74584
78.957	0.0	localizer Face onset	1	78957
82.196	0.0	localizer Cat onset	3	82196
85.4	0.0	localizer Shoe onset	4	85400
87.92	0.0	localizer Cat distractor onset	103	87920
88.516	0.0	localizer sound coin	31	88516
91.39	0.0	localizer Cat onset	3	91390
95.095	0.0	localizer House onset	2	95095
98.082	0.0	localizer Shoe onset	4	98082
100.835	0.0	localizer Shoe onset	4	100835
103.656	0.0	localizer Face onset	1	103656
107.128	0.0	localizer House distractor onset	102	107128
107.708	0.0	localizer sound coin	31	107708
109.948	0.0	localizer Cat onset	3	109948
113.536	0.0	localizer Chair distractor onset	105	113536
114.166	0.0	localizer sound coin	31	114166
116.473	0.0	localizer Cat onset	3	116473
119.757	0.0	fixation pre 2	82	119757
123.265	0.0	cue Face	11	123265
126.611	0.0	sequence Cat onset	23	126611
126.85	0.0	sequence Chair onset	25	126850
127.083	0.0	sequence House onset	22	127083
127.317	0.0	sequence Face onset	21	127317
127.55	0.0	sequence Shoe onset	24	127550
127.784	0.0	Sequence Buffer start	61	127784
135.852	0.0	Sequence Buffer stop	62	135852
136.663	0.0	sequencesound coin	71	136663
137.167	0.0	cue Chair	15	137167
140.48	0.0	sequence Face onset	21	140480
140.617	0.0	sequence Cat onset	23	140617
140.751	0.0	sequence House onset	22	140751
140.885	0.0	sequence Shoe onset	24	140885
141.018	0.0	sequence Chair onset	25	141018
141.151	0.0	Sequence Buffer start	61	141151
149.691	0.0	Sequence Buffer stop	62	149691
150.632	0.0	sequencesound coin	71	150632
151.133	0.0	cue Chair	15	151133
154.446	0.0	sequence House onset	22	154446
154.602	0.0	sequence Face onset	21	154602
154.769	0.0	sequence Cat onset	23	154769
154.936	0.0	sequence Shoe onset	24	154936
155.103	0.0	sequence Chair onset	25	155103
155.27	0.0	Sequence Buffer start	61	155270
163.66	0.0	Sequence Buffer stop	62	163660
164.767	0.0	sequencesound coin	71	164767
165.27	0.0	cue Shoe	14	165270
168.582	0.0	sequence Chair onset	25	168582
168.821	0.0	sequence Face onset	21	168821
169.055	0.0	sequence Shoe onset	24	169055
169.288	0.0	sequence Cat onset	23	169288
169.522	0.0	sequence House onset	22	169522
169.756	0.0	Sequence Buffer start	61	169756
177.811	0.0	Sequence Buffer stop	62	177811
178.702	0.0	sequencesound coin	71	178702
179.205	0.0	cue House	12	179205
182.516	0.0	sequence Chair onset	25	182516
183.123	0.0	sequence Face onset	21	183123
183.741	0.0	sequence House onset	22	183741
184.358	0.0	sequence Shoe onset	24	184358
184.976	0.0	sequence Cat onset	23	184976
185.594	0.0	Sequence Buffer start	61	185594
191.727	0.0	Sequence Buffer stop	62	191727
192.57	0.0	sequencesound coin	71	192570
193.071	0.0	cue House	12	193071
196.385	0.0	sequence Shoe onset	24	196385
196.557	0.0	sequence Face onset	21	196557
196.724	0.0	sequence Chair onset	25	196724
196.891	0.0	sequence Cat onset	23	196891
197.058	0.0	sequence House onset	22	197058
197.225	0.0	Sequence Buffer start	61	197225
205.618	0.0	Sequence Buffer stop	62	205618
206.638	0.0	sequence sound error	70	206638
207.142	0.0	cue Face	11	207142
210.453	0.0	sequence Shoe onset	24	210453
211.077	0.0	sequence Cat onset	23	211077
211.694	0.0	sequence Chair onset	25	211694
212.312	0.0	sequence Face onset	21	212312
212.929	0.0	sequence House onset	22	212929
213.547	0.0	Sequence Buffer start	61	213547
