onset	duration	subject	session	condition	trial_type	stim_label	key_down	orientation	interval_time	response_time	accuracy	stim_index	serial_position	key_expected	key_pressed	choice_left	choice_right	choice_correct
1.2582404000004317	1.2255	sub-07	1	instruction	instruction	language_selection	german	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.63891950000016	0.4993	sub-07	1	localizer	stimulus	Schuh	NaN	180	2.3518436000003966	-10.449201999999786	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29.121734800000013	2.3518	sub-07	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.774771299999884	0.4994	sub-07	1	localizer	stimulus	Stuhl	NaN	0	2.1348189999998795	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32.25770929999999	2.1348	sub-07	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.69357690000015	0.4996	sub-07	1	localizer	stimulus	Katze	NaN	0	2.5519475999999486	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.17652220000036	2.5519	sub-07	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.029578600000605	0.4996	sub-07	1	localizer	stimulus	Katze	NaN	0	2.668726400000196	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.51260550000006	2.6687	sub-07	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41.482423800000106	0.4994	sub-07	1	localizer	stimulus	Gesicht	NaN	0	2.5851257000003898	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41.96566979999989	2.5851	sub-07	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44.85190950000015	0.4995	sub-07	1	localizer	stimulus	Katze	NaN	0	3.4691812000000937	NaN	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45.334843399999954	3.4692	sub-07	1	localizer	blank	interval	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
