onset	duration	trial_type	value	sample
29.662	0.0	fixation pre 1	81	29662
33.471	0.0	localizer Cat onset	3	33471
36.942	0.0	localizer Cat onset	3	36942
39.996	0.0	localizer Face onset	1	39996
43.1	0.0	localizer House onset	2	43100
45.536	0.0	localizer Shoe onset	4	45536
49.158	0.0	localizer Chair onset	5	49158
51.411	0.0	localizer Shoe distractor onset	104	51411
52.459	0.0	localizer sound coin	31	52459
54.832	0.0	localizer Cat onset	3	54832
58.42	0.0	localizer Shoe onset	4	58420
61.542	0.0	localizer Face onset	1	61542
65.446	0.0	localizer Cat onset	3	65446
69.368	0.0	localizer Chair distractor onset	105	69368
70.065	0.0	localizer sound coin	31	70065
72.405	0.0	localizer House onset	2	72405
75.76	0.0	localizer Face distractor onset	101	75760
76.557	0.0	localizer sound coin	31	76557
79.598	0.0	localizer Chair onset	5	79598
83.387	0.0	localizer Face onset	1	83387
86.29	0.0	localizer Face onset	1	86290
90.129	0.0	localizer Shoe onset	4	90129
93.466	0.0	localizer Shoe onset	4	93466
93.963	0.0	localizer sound error	30	93963
96.704	0.0	localizer House distractor onset	102	96704
97.401	0.0	localizer sound coin	31	97401
99.258	0.0	localizer House onset	2	99258
102.645	0.0	localizer Cat distractor onset	103	102645
103.292	0.0	localizer sound coin	31	103292
105.749	0.0	localizer House onset	2	105749
109.188	0.0	localizer Chair onset	5	109188
112.992	0.0	localizer Chair onset	5	112992
116.093	0.0	fixation pre 2	82	116093
119.6	0.0	cue House	12	119600
122.947	0.0	sequence Cat onset	23	122947
123.569	0.0	sequence Face onset	21	123569
124.187	0.0	sequence Chair onset	25	124187
124.804	0.0	sequence House onset	22	124804
125.421	0.0	sequence Shoe onset	24	125421
126.039	0.0	Sequence Buffer start	61	126039
132.197	0.0	Sequence Buffer stop	62	132197
133.433	0.0	sequencesound coin	71	133433
133.936	0.0	cue Chair	15	133936
137.249	0.0	sequence Cat onset	23	137249
137.487	0.0	sequence House onset	22	137487
137.721	0.0	sequence Shoe onset	24	137721
137.955	0.0	sequence Face onset	21	137955
138.188	0.0	sequence Chair onset	25	138188
138.422	0.0	Sequence Buffer start	61	138422
146.478	0.0	Sequence Buffer stop	62	146478
147.551	0.0	sequencesound coin	71	147551
148.053	0.0	cue Shoe	14	148053
151.37	0.0	sequence Face onset	21	151370
151.99	0.0	sequence Chair onset	25	151990
152.607	0.0	sequence House onset	22	152607
153.225	0.0	sequence Shoe onset	24	153225
153.842	0.0	sequence Cat onset	23	153842
154.46	0.0	Sequence Buffer start	61	154460
160.603	0.0	Sequence Buffer stop	62	160603
162.387	0.0	sequence sound error	70	162387
162.889	0.0	cue Shoe	14	162889
166.206	0.0	sequence Chair onset	25	166206
166.375	0.0	sequence Shoe onset	24	166375
166.542	0.0	sequence House onset	22	166542
166.709	0.0	sequence Cat onset	23	166709
166.876	0.0	sequence Face onset	21	166876
167.043	0.0	Sequence Buffer start	61	167043
175.43	0.0	Sequence Buffer stop	62	175430
177.941	0.0	sequence sound error	70	177941
178.444	0.0	cue Cat	13	178444
181.756	0.0	sequence Chair onset	25	181756
181.912	0.0	sequence Cat onset	23	181912
182.079	0.0	sequence Shoe onset	24	182079
182.246	0.0	sequence Face onset	21	182246
182.413	0.0	sequence House onset	22	182413
182.58	0.0	Sequence Buffer start	61	182580
190.96	0.0	Sequence Buffer stop	62	190960
192.093	0.0	sequencesound coin	71	192093
192.596	0.0	cue Face	11	192596
195.909	0.0	sequence Shoe onset	24	195909
196.131	0.0	sequence Chair onset	25	196131
196.365	0.0	sequence Cat onset	23	196365
196.598	0.0	sequence House onset	22	196598
196.832	0.0	sequence Face onset	21	196832
197.066	0.0	Sequence Buffer start	61	197066
205.136	0.0	Sequence Buffer stop	62	205136
206.062	0.0	sequencesound coin	71	206062
206.563	0.0	cue Shoe	14	206563
209.877	0.0	sequence Cat onset	23	209877
210.016	0.0	sequence Face onset	21	210016
210.149	0.0	sequence House onset	22	210149
210.283	0.0	sequence Chair onset	25	210283
210.416	0.0	sequence Shoe onset	24	210416
210.55	0.0	Sequence Buffer start	61	210550
219.079	0.0	Sequence Buffer stop	62	219079
221.532	0.0	sequence sound error	70	221532
222.035	0.0	cue House	12	222035
225.347	0.0	sequence Cat onset	23	225347
225.47	0.0	sequence Face onset	21	225470
225.603	0.0	sequence Shoe onset	24	225603
225.737	0.0	sequence House onset	22	225737
225.87	0.0	sequence Chair onset	25	225870
226.004	0.0	Sequence Buffer start	61	226004
234.531	0.0	Sequence Buffer stop	62	234531
236.234	0.0	sequencesound coin	71	236234
236.735	0.0	fixation pre 1	81	236735
240.543	0.0	localizer Chair onset	5	240543
244.048	0.0	localizer House onset	2	244048
247.736	0.0	localizer House onset	2	247736
251.109	0.0	localizer Cat onset	3	251109
255.58	0.0	localizer Face onset	1	255580
258.918	0.0	localizer House onset	2	258918
261.537	0.0	localizer Shoe onset	4	261537
265.042	0.0	localizer Shoe onset	4	265042
268.38	0.0	localizer House onset	2	268380
271.501	0.0	localizer Face distractor onset	101	271501
272.181	0.0	localizer sound coin	31	272181
275.155	0.0	localizer Shoe onset	4	275155
278.927	0.0	localizer Face onset	1	278927
282.615	0.0	localizer Chair distractor onset	105	282615
283.296	0.0	localizer sound coin	31	283296
286.02	0.0	localizer Chair onset	5	286020
288.89	0.0	localizer Cat distractor onset	103	288890
289.638	0.0	localizer sound coin	31	289638
292.078	0.0	localizer Shoe onset	4	292078
295.999	0.0	localizer Chair onset	5	295999
298.787	0.0	localizer Shoe distractor onset	104	298787
299.517	0.0	localizer sound coin	31	299517
301.356	0.0	localizer Cat onset	3	301356
304.745	0.0	localizer House distractor onset	102	304745
305.475	0.0	localizer sound coin	31	305475
307.715	0.0	localizer Chair onset	5	307715
310.369	0.0	localizer Face onset	1	310369
314.157	0.0	localizer Face onset	1	314157
316.994	0.0	localizer Cat onset	3	316994
320.365	0.0	localizer Cat onset	3	320365
323.115	0.0	fixation pre 2	82	323115
326.622	0.0	cue Shoe	14	326622
329.935	0.0	sequence Cat onset	23	329935
330.541	0.0	sequence Face onset	21	330541
331.159	0.0	sequence Chair onset	25	331159
331.776	0.0	sequence House onset	22	331776
332.394	0.0	sequence Shoe onset	24	332394
333.011	0.0	Sequence Buffer start	61	333011
339.154	0.0	Sequence Buffer stop	62	339154
340.421	0.0	sequencesound coin	71	340421
340.924	0.0	cue Chair	15	340924
344.237	0.0	sequence Cat onset	23	344237
344.476	0.0	sequence House onset	22	344476
344.71	0.0	sequence Shoe onset	24	344710
344.943	0.0	sequence Face onset	21	344943
345.177	0.0	sequence Chair onset	25	345177
345.411	0.0	Sequence Buffer start	61	345411
353.486	0.0	Sequence Buffer stop	62	353486
354.54	0.0	sequence sound error	70	354540
355.042	0.0	cue Face	11	355042
358.355	0.0	sequence Face onset	21	358355
358.979	0.0	sequence Chair onset	25	358979
359.596	0.0	sequence House onset	22	359596
360.214	0.0	sequence Shoe onset	24	360214
360.831	0.0	sequence Cat onset	23	360831
361.449	0.0	Sequence Buffer start	61	361449
367.585	0.0	Sequence Buffer stop	62	367585
368.525	0.0	sequencesound coin	71	368525
369.028	0.0	cue Chair	15	369028
372.341	0.0	sequence Cat onset	23	372341
372.463	0.0	sequence Face onset	21	372463
372.597	0.0	sequence House onset	22	372597
372.73	0.0	sequence Chair onset	25	372730
372.864	0.0	sequence Shoe onset	24	372864
372.997	0.0	Sequence Buffer start	61	372997
381.528	0.0	Sequence Buffer stop	62	381528
384.029	0.0	sequence sound error	70	384029
384.532	0.0	cue Face	11	384532
387.844	0.0	sequence Chair onset	25	387844
388.017	0.0	sequence Shoe onset	24	388017
388.184	0.0	sequence House onset	22	388184
388.351	0.0	sequence Cat onset	23	388351
388.517	0.0	sequence Face onset	21	388517
388.684	0.0	Sequence Buffer start	61	388684
397.084	0.0	Sequence Buffer stop	62	397084
398.432	0.0	sequencesound coin	71	398432
398.935	0.0	cue House	12	398935
402.246	0.0	sequence Shoe onset	24	402246
402.486	0.0	sequence Chair onset	25	402486
402.72	0.0	sequence Cat onset	23	402720
402.953	0.0	sequence House onset	22	402953
403.187	0.0	sequence Face onset	21	403187
403.42	0.0	Sequence Buffer start	61	403420
411.495	0.0	Sequence Buffer stop	62	411495
412.684	0.0	sequencesound coin	71	412684
413.185	0.0	cue Face	11	413185
416.498	0.0	sequence Cat onset	23	416498
416.621	0.0	sequence Face onset	21	416621
416.755	0.0	sequence Shoe onset	24	416755
416.888	0.0	sequence House onset	22	416888
417.022	0.0	sequence Chair onset	25	417022
417.155	0.0	Sequence Buffer start	61	417155
425.698	0.0	Sequence Buffer stop	62	425698
426.618	0.0	sequencesound coin	71	426618
427.12	0.0	cue Face	11	427120
430.433	0.0	sequence Chair onset	25	430433
430.606	0.0	sequence Cat onset	23	430606
430.773	0.0	sequence Shoe onset	24	430773
430.94	0.0	sequence Face onset	21	430940
431.107	0.0	sequence House onset	22	431107
431.274	0.0	Sequence Buffer start	61	431274
439.666	0.0	Sequence Buffer stop	62	439666
440.854	0.0	sequencesound coin	71	440854
480.689	0.0	Break stop	92	480689
480.7	0.0	fixation pre 1	81	480700
484.498	0.0	localizer Shoe onset	4	484498
488.053	0.0	localizer House onset	2	488053
490.956	0.0	localizer House onset	2	490956
494.928	0.0	localizer Cat onset	3	494928
498.766	0.0	localizer Cat distractor onset	103	498766
499.532	0.0	localizer sound coin	31	499532
503.105	0.0	localizer Shoe onset	4	503105
506.276	0.0	localizer Cat onset	3	506276
510.532	0.0	localizer House onset	2	510532
513.653	0.0	localizer Shoe distractor onset	104	513653
