onset	duration	trial_type	value	sample
26.111	0.0	fixation pre 1	81	26111
29.92	0.0	localizer Shoe onset	4	29920
30.4	0.0	localizer sound error	30	30400
33.642	0.0	localizer Chair onset	5	33642
36.429	0.0	localizer Chair onset	5	36429
39.165	0.0	localizer Cat onset	3	39165
41.953	0.0	localizer House onset	2	41953
44.171	0.0	localizer Cat distractor onset	103	44171
44.752	0.0	localizer sound coin	31	44752
48.16	0.0	localizer Face onset	1	48160
51.03	0.0	localizer Face onset	1	51030
53.901	0.0	localizer House distractor onset	102	53901
54.448	0.0	localizer sound coin	31	54448
57.473	0.0	localizer Face onset	1	57473
61.361	0.0	localizer Chair distractor onset	105	61361
61.891	0.0	localizer sound coin	31	61891
64.265	0.0	localizer House onset	2	64265
67.219	0.0	localizer House onset	2	67219
71.424	0.0	localizer Chair onset	5	71424
75.012	0.0	localizer Face distractor onset	101	75012
75.609	0.0	localizer sound coin	31	75609
79.034	0.0	localizer Cat onset	3	79034
82.288	0.0	localizer Cat onset	3	82288
84.975	0.0	localizer Shoe onset	4	84975
88.213	0.0	localizer Cat onset	3	88213
91.6	0.0	localizer Chair onset	5	91600
95.356	0.0	localizer Shoe distractor onset	104	95356
96.069	0.0	localizer sound coin	31	96069
99.478	0.0	localizer House onset	2	99478
102.615	0.0	localizer Shoe onset	4	102615
106.153	0.0	localizer Face onset	1	106153
109.775	0.0	localizer Shoe onset	4	109775
112.875	0.0	fixation pre 2	82	112875
116.382	0.0	cue Cat	13	116382
119.729	0.0	sequence Shoe onset	24	119729
119.884	0.0	sequence Chair onset	25	119884
120.051	0.0	sequence Face onset	21	120051
120.218	0.0	sequence House onset	22	120218
120.385	0.0	sequence Cat onset	23	120385
120.552	0.0	Sequence Buffer start	61	120552
128.941	0.0	Sequence Buffer stop	62	128941
129.581	0.0	sequencesound coin	71	129581
130.083	0.0	cue Chair	15	130083
133.396	0.0	sequence Face onset	21	133396
134.002	0.0	sequence Shoe onset	24	134002
134.62	0.0	sequence Cat onset	23	134620
135.237	0.0	sequence Chair onset	25	135237
135.855	0.0	sequence House onset	22	135855
136.473	0.0	Sequence Buffer start	61	136473
142.624	0.0	Sequence Buffer stop	62	142624
143.232	0.0	sequencesound coin	71	143232
143.734	0.0	cue Shoe	14	143734
147.051	0.0	sequence Cat onset	23	147051
147.22	0.0	sequence Face onset	21	147220
147.387	0.0	sequence House onset	22	147387
147.554	0.0	sequence Shoe onset	24	147554
147.721	0.0	sequence Chair onset	25	147721
147.888	0.0	Sequence Buffer start	61	147888
156.281	0.0	Sequence Buffer stop	62	156281
156.918	0.0	sequencesound coin	71	156918
157.42	0.0	cue Cat	13	157420
160.735	0.0	sequence Chair onset	25	160735
160.971	0.0	sequence Shoe onset	24	160971
161.205	0.0	sequence Face onset	21	161205
161.439	0.0	sequence Cat onset	23	161439
161.672	0.0	sequence House onset	22	161672
161.906	0.0	Sequence Buffer start	61	161906
169.963	0.0	Sequence Buffer stop	62	169963
170.552	0.0	sequencesound coin	71	170552
171.054	0.0	cue Chair	15	171054
174.37	0.0	sequence Cat onset	23	174370
174.606	0.0	sequence House onset	22	174606
174.839	0.0	sequence Chair onset	25	174839
175.073	0.0	sequence Shoe onset	24	175073
175.307	0.0	sequence Face onset	21	175307
175.541	0.0	Sequence Buffer start	61	175541
183.62	0.0	Sequence Buffer stop	62	183620
184.27	0.0	sequencesound coin	71	184270
184.773	0.0	cue Cat	13	184773
188.085	0.0	sequence Chair onset	25	188085
188.708	0.0	sequence Shoe onset	24	188708
189.325	0.0	sequence Face onset	21	189325
189.943	0.0	sequence House onset	22	189943
190.56	0.0	sequence Cat onset	23	190560
191.178	0.0	Sequence Buffer start	61	191178
197.329	0.0	Sequence Buffer stop	62	197329
198.054	0.0	sequencesound coin	71	198054
198.556	0.0	cue Chair	15	198556
201.869	0.0	sequence Shoe onset	24	201869
202.009	0.0	sequence Chair onset	25	202009
202.142	0.0	sequence Cat onset	23	202142
202.276	0.0	sequence Face onset	21	202276
202.409	0.0	sequence House onset	22	202409
202.543	0.0	Sequence Buffer start	61	202543
211.063	0.0	Sequence Buffer stop	62	211063
211.756	0.0	sequencesound coin	71	211756
212.259	0.0	cue House	12	212259
215.575	0.0	sequence Chair onset	25	215575
215.71	0.0	sequence Face onset	21	215710
215.843	0.0	sequence Cat onset	23	215843
215.977	0.0	sequence Shoe onset	24	215977
