onset	duration	trial_type	value	sample
33.117	0.0	fixation pre 1	81	33117
36.925	0.0	localizer Chair onset	5	36925
40.53	0.0	localizer Chair onset	5	40530
45.205	0.0	localizer House onset	2	45205
48.54	0.0	localizer Shoe onset	4	48540
52.178	0.0	localizer Shoe onset	4	52178
55.316	0.0	localizer House distractor onset	102	55316
55.913	0.0	localizer sound coin	31	55913
57.803	0.0	localizer Chair onset	5	57803
60.406	0.0	localizer Shoe onset	4	60406
63.594	0.0	localizer Chair onset	5	63594
67.198	0.0	localizer Cat onset	3	67198
70.253	0.0	localizer House onset	2	70253
73.757	0.0	localizer House onset	2	73757
77.011	0.0	localizer Cat onset	3	77011
80.149	0.0	localizer Chair distractor onset	105	80149
80.729	0.0	localizer sound coin	31	80729
84.054	0.0	localizer Face onset	1	84054
87.425	0.0	localizer Face onset	1	87425
88.156	0.0	localizer sound error	30	88156
90.563	0.0	localizer Shoe onset	4	90563
93.633	0.0	localizer Face onset	1	93633
97.371	0.0	localizer Cat onset	3	97371
100.759	0.0	localizer Shoe distractor onset	104	100759
101.356	0.0	localizer sound coin	31	101356
103.68	0.0	localizer Cat onset	3	103680
107.134	0.0	localizer Cat distractor onset	103	107134
107.715	0.0	localizer sound coin	31	107715
110.105	0.0	localizer Face onset	1	110105
114.429	0.0	localizer House onset	2	114429
117.698	0.0	localizer Face distractor onset	101	117698
118.212	0.0	localizer sound coin	31	118212
120.816	0.0	fixation pre 2	82	120816
124.322	0.0	cue House	12	124322
127.673	0.0	sequence Chair onset	25	127673
127.808	0.0	sequence House onset	22	127808
127.941	0.0	sequence Face onset	21	127941
128.075	0.0	sequence Shoe onset	24	128075
128.208	0.0	sequence Cat onset	23	128208
128.342	0.0	Sequence Buffer start	61	128342
136.887	0.0	Sequence Buffer stop	62	136887
139.39	0.0	sequence sound error	70	139390
139.894	0.0	cue Face	11	139894
143.207	0.0	sequence House onset	22	143207
143.378	0.0	sequence Shoe onset	24	143378
143.545	0.0	sequence Cat onset	23	143545
143.712	0.0	sequence Chair onset	25	143712
143.879	0.0	sequence Face onset	21	143879
144.046	0.0	Sequence Buffer start	61	144046
152.417	0.0	Sequence Buffer stop	62	152417
153.592	0.0	sequencesound coin	71	153592
154.096	0.0	cue Cat	13	154096
157.408	0.0	sequence Face onset	21	157408
157.63	0.0	sequence Chair onset	25	157630
157.864	0.0	sequence Shoe onset	24	157864
158.098	0.0	sequence House onset	22	158098
158.331	0.0	sequence Cat onset	23	158331
158.565	0.0	Sequence Buffer start	61	158565
166.645	0.0	Sequence Buffer stop	62	166645
167.793	0.0	sequencesound coin	71	167793
168.296	0.0	cue Cat	13	168296
171.61	0.0	sequence Shoe onset	24	171610
171.782	0.0	sequence Chair onset	25	171782
171.949	0.0	sequence Face onset	21	171949
172.116	0.0	sequence Cat onset	23	172116
172.283	0.0	sequence House onset	22	172283
172.45	0.0	Sequence Buffer start	61	172450
180.822	0.0	Sequence Buffer stop	62	180822
181.763	0.0	sequencesound coin	71	181763
182.266	0.0	cue Shoe	14	182266
185.578	0.0	sequence Face onset	21	185578
